"","Cell","Batch","Group","ExpLibSize"
"Cell501","Cell501","Batch1","Group2",60824.7673739392
"Cell502","Cell502","Batch1","Group4",59261.5442369354
"Cell503","Cell503","Batch1","Group5",56831.4514750194
"Cell504","Cell504","Batch1","Group5",81899.9482257155
"Cell505","Cell505","Batch1","Group5",55581.0157173099
"Cell506","Cell506","Batch1","Group4",84828.6728499186
"Cell507","Cell507","Batch1","Group1",48061.1141665775
"Cell508","Cell508","Batch1","Group4",71201.2525191757
"Cell509","Cell509","Batch1","Group1",66633.1624457145
"Cell510","Cell510","Batch1","Group5",45304.1738378236
"Cell511","Cell511","Batch1","Group4",80758.0394942011
"Cell512","Cell512","Batch1","Group1",46700.7032577721
"Cell513","Cell513","Batch1","Group4",48759.846551142
"Cell514","Cell514","Batch1","Group2",53480.2556734102
"Cell515","Cell515","Batch1","Group5",48309.9879407202
"Cell516","Cell516","Batch1","Group5",55740.3877602964
"Cell517","Cell517","Batch1","Group2",53323.5442354263
"Cell518","Cell518","Batch1","Group5",58787.0465141637
"Cell519","Cell519","Batch1","Group4",55704.9240452454
"Cell520","Cell520","Batch1","Group3",36723.4298090724
"Cell521","Cell521","Batch1","Group5",55057.8536805371
"Cell522","Cell522","Batch1","Group1",55628.8328862225
"Cell523","Cell523","Batch1","Group5",53495.3886031456
"Cell524","Cell524","Batch1","Group3",45344.7005946872
"Cell525","Cell525","Batch1","Group2",52760.2201939612
"Cell526","Cell526","Batch1","Group3",82634.8335145333
"Cell527","Cell527","Batch1","Group1",57075.6494765247
"Cell528","Cell528","Batch1","Group1",53153.7700444843
"Cell529","Cell529","Batch1","Group5",57961.0773715308
"Cell530","Cell530","Batch1","Group1",34870.5257474934
"Cell531","Cell531","Batch1","Group1",46993.4425886697
"Cell532","Cell532","Batch1","Group5",67585.0679431509
"Cell533","Cell533","Batch1","Group2",63332.0801914968
"Cell534","Cell534","Batch1","Group3",54650.0804494012
"Cell535","Cell535","Batch1","Group3",60079.6498608804
"Cell536","Cell536","Batch1","Group2",93082.2353057092
"Cell537","Cell537","Batch1","Group2",38321.8039506735
"Cell538","Cell538","Batch1","Group3",69596.587973538
"Cell539","Cell539","Batch1","Group3",67533.001055467
"Cell540","Cell540","Batch1","Group2",67843.8251656148
"Cell541","Cell541","Batch1","Group5",71814.8416591011
"Cell542","Cell542","Batch1","Group3",58136.6898870728
"Cell543","Cell543","Batch1","Group1",72807.7513850332
"Cell544","Cell544","Batch1","Group5",65540.7732760602
"Cell545","Cell545","Batch1","Group3",72404.6536680039
"Cell546","Cell546","Batch1","Group2",46982.6750986403
"Cell547","Cell547","Batch1","Group2",65855.1960594822
"Cell548","Cell548","Batch1","Group1",77127.7252597701
"Cell549","Cell549","Batch1","Group3",61164.9405203938
"Cell550","Cell550","Batch1","Group4",48918.9544827402
"Cell551","Cell551","Batch1","Group5",75794.3086341082
"Cell552","Cell552","Batch1","Group1",41454.6117352826
"Cell553","Cell553","Batch1","Group4",46983.7147983397
"Cell554","Cell554","Batch1","Group2",51304.9347180601
"Cell555","Cell555","Batch1","Group1",55825.3980147211
"Cell556","Cell556","Batch1","Group5",83804.5599955506
"Cell557","Cell557","Batch1","Group3",37868.2715238025
"Cell558","Cell558","Batch1","Group2",59817.2367649167
"Cell559","Cell559","Batch1","Group2",57486.708295201
"Cell560","Cell560","Batch1","Group1",68869.7752786574
"Cell561","Cell561","Batch1","Group1",63594.4489747966
"Cell562","Cell562","Batch1","Group5",42930.4766018698
"Cell563","Cell563","Batch1","Group2",54270.4357766832
"Cell564","Cell564","Batch1","Group3",55716.7486122648
"Cell565","Cell565","Batch1","Group5",83602.6157493769
"Cell566","Cell566","Batch1","Group1",72277.6217012031
"Cell567","Cell567","Batch1","Group5",82831.2922932111
"Cell568","Cell568","Batch1","Group3",71555.1069762875
"Cell569","Cell569","Batch1","Group5",53841.34783158
"Cell570","Cell570","Batch1","Group3",73430.6452496155
"Cell571","Cell571","Batch1","Group1",74836.1995734664
"Cell572","Cell572","Batch1","Group2",62262.7954138792
"Cell573","Cell573","Batch1","Group4",78410.5732401535
"Cell574","Cell574","Batch1","Group3",61523.8106455206
"Cell575","Cell575","Batch1","Group2",81706.6470471769
"Cell576","Cell576","Batch1","Group1",58233.7671320444
"Cell577","Cell577","Batch1","Group4",58446.316915869
"Cell578","Cell578","Batch1","Group5",69595.5315469338
"Cell579","Cell579","Batch1","Group4",63975.6366569974
"Cell580","Cell580","Batch1","Group1",43457.1630247149
"Cell581","Cell581","Batch1","Group5",51299.4363282917
"Cell582","Cell582","Batch1","Group3",47831.063692216
"Cell583","Cell583","Batch1","Group1",64742.0971186161
"Cell584","Cell584","Batch1","Group5",47845.1003248498
"Cell585","Cell585","Batch1","Group2",59082.6797306322
"Cell586","Cell586","Batch1","Group4",73066.4875087493
"Cell587","Cell587","Batch1","Group4",37888.3878276171
"Cell588","Cell588","Batch1","Group2",58258.6789646629
"Cell589","Cell589","Batch1","Group4",70555.8163882555
"Cell590","Cell590","Batch1","Group1",49222.8294351777
"Cell591","Cell591","Batch1","Group5",68475.6528415683
"Cell592","Cell592","Batch1","Group4",68899.9924687586
"Cell593","Cell593","Batch1","Group3",56249.5625842096
"Cell594","Cell594","Batch1","Group5",58466.073162342
"Cell595","Cell595","Batch1","Group5",62622.81618075
"Cell596","Cell596","Batch1","Group1",47821.6471534483
"Cell597","Cell597","Batch1","Group5",74335.8534429417
"Cell598","Cell598","Batch1","Group4",77057.6039753489
"Cell599","Cell599","Batch1","Group4",70519.5471399034
"Cell600","Cell600","Batch1","Group3",66423.8616442699
"Cell601","Cell601","Batch1","Group4",52949.8744625309
"Cell602","Cell602","Batch1","Group1",105404.598084185
"Cell603","Cell603","Batch1","Group1",80826.6554376622
"Cell604","Cell604","Batch1","Group2",59418.3996300681
"Cell605","Cell605","Batch1","Group5",50681.4587891467
"Cell606","Cell606","Batch1","Group1",65405.5894193323
"Cell607","Cell607","Batch1","Group1",55692.9098881758
"Cell608","Cell608","Batch1","Group3",55345.5303357172
"Cell609","Cell609","Batch1","Group3",61879.7720369989
"Cell610","Cell610","Batch1","Group1",56686.4026459277
"Cell611","Cell611","Batch1","Group2",65859.6039821031
"Cell612","Cell612","Batch1","Group1",69302.0745553753
"Cell613","Cell613","Batch1","Group3",51676.8808912314
"Cell614","Cell614","Batch1","Group4",77720.7031528234
"Cell615","Cell615","Batch1","Group4",65118.8122144366
"Cell616","Cell616","Batch1","Group5",80908.3827983447
"Cell617","Cell617","Batch1","Group4",40888.2906250711
"Cell618","Cell618","Batch1","Group2",74746.7617761308
"Cell619","Cell619","Batch1","Group3",59570.4337054802
"Cell620","Cell620","Batch1","Group5",60845.4078635463
"Cell621","Cell621","Batch1","Group2",60973.9707468385
"Cell622","Cell622","Batch1","Group1",64283.6204157872
"Cell623","Cell623","Batch1","Group3",43955.1580611661
"Cell624","Cell624","Batch1","Group5",59384.4927175897
"Cell625","Cell625","Batch1","Group2",60897.2122647479
"Cell626","Cell626","Batch1","Group3",70484.3304708606
"Cell627","Cell627","Batch1","Group5",55881.5936134846
"Cell628","Cell628","Batch1","Group3",60454.6772151619
"Cell629","Cell629","Batch1","Group5",57432.9502813749
"Cell630","Cell630","Batch1","Group4",62677.6611023927
"Cell631","Cell631","Batch1","Group1",46488.8665651582
"Cell632","Cell632","Batch1","Group1",43292.0926689367
"Cell633","Cell633","Batch1","Group3",51686.4871850535
"Cell634","Cell634","Batch1","Group3",42771.1764931896
"Cell635","Cell635","Batch1","Group1",80246.2082856738
"Cell636","Cell636","Batch1","Group4",82073.5419282575
"Cell637","Cell637","Batch1","Group3",35123.9276861352
"Cell638","Cell638","Batch1","Group2",60344.0771369403
"Cell639","Cell639","Batch1","Group2",74288.7890294615
"Cell640","Cell640","Batch1","Group5",44151.47388641
"Cell641","Cell641","Batch1","Group5",57243.2116110887
"Cell642","Cell642","Batch1","Group1",56536.4015170632
"Cell643","Cell643","Batch1","Group3",63158.5588390374
"Cell644","Cell644","Batch1","Group1",62480.9450935022
"Cell645","Cell645","Batch1","Group3",66426.8966489298
"Cell646","Cell646","Batch1","Group5",89408.9794689601
"Cell647","Cell647","Batch1","Group3",74136.1704548933
"Cell648","Cell648","Batch1","Group2",53918.5596404106
"Cell649","Cell649","Batch1","Group1",69282.9310397849
"Cell650","Cell650","Batch1","Group5",74188.3277306919
"Cell651","Cell651","Batch1","Group1",71456.6640591605
"Cell652","Cell652","Batch1","Group5",58700.4038584427
"Cell653","Cell653","Batch1","Group1",39800.0588088425
"Cell654","Cell654","Batch1","Group3",90287.0465753647
"Cell655","Cell655","Batch1","Group3",67708.8189411812
"Cell656","Cell656","Batch1","Group4",85298.4154287813
"Cell657","Cell657","Batch1","Group2",78347.7151864363
"Cell658","Cell658","Batch1","Group2",63937.7666281191
"Cell659","Cell659","Batch1","Group4",73696.8200049027
"Cell660","Cell660","Batch1","Group5",69104.5600074589
"Cell661","Cell661","Batch1","Group1",69306.6495979468
"Cell662","Cell662","Batch1","Group3",71713.847539758
"Cell663","Cell663","Batch1","Group5",81404.4341881837
"Cell664","Cell664","Batch1","Group2",47047.4235828346
"Cell665","Cell665","Batch1","Group5",40508.089002651
"Cell666","Cell666","Batch1","Group3",54940.5545284198
"Cell667","Cell667","Batch1","Group4",66690.213180497
"Cell668","Cell668","Batch1","Group1",54680.1055009224
"Cell669","Cell669","Batch1","Group2",56571.8340603535
"Cell670","Cell670","Batch1","Group3",63128.2506421107
"Cell671","Cell671","Batch1","Group5",51847.584269654
"Cell672","Cell672","Batch1","Group5",54452.9098883938
"Cell673","Cell673","Batch1","Group4",58401.0085611777
"Cell674","Cell674","Batch1","Group1",48411.0744326949
"Cell675","Cell675","Batch1","Group4",88697.4409471267
"Cell676","Cell676","Batch1","Group4",42007.9172540052
"Cell677","Cell677","Batch1","Group4",71819.0191846787
"Cell678","Cell678","Batch1","Group3",41117.598480411
"Cell679","Cell679","Batch1","Group2",46134.8838100238
"Cell680","Cell680","Batch1","Group3",75732.0340894721
"Cell681","Cell681","Batch1","Group3",61623.3997337343
"Cell682","Cell682","Batch1","Group5",69142.1463529461
"Cell683","Cell683","Batch1","Group5",66569.7031318128
"Cell684","Cell684","Batch1","Group2",64216.8675130512
"Cell685","Cell685","Batch1","Group4",55883.7503257133
"Cell686","Cell686","Batch1","Group4",63988.0303794029
"Cell687","Cell687","Batch1","Group4",41865.9742165596
"Cell688","Cell688","Batch1","Group3",44437.8735500229
"Cell689","Cell689","Batch1","Group4",47647.1405492315
"Cell690","Cell690","Batch1","Group2",62433.6594974978
"Cell691","Cell691","Batch1","Group1",61847.8057727416
"Cell692","Cell692","Batch1","Group2",59972.2326385059
"Cell693","Cell693","Batch1","Group4",54844.5620746977
"Cell694","Cell694","Batch1","Group1",75135.4035768084
"Cell695","Cell695","Batch1","Group4",58380.4460579608
"Cell696","Cell696","Batch1","Group4",53872.646261636
"Cell697","Cell697","Batch1","Group4",70517.8001218475
"Cell698","Cell698","Batch1","Group5",41627.6505396479
"Cell699","Cell699","Batch1","Group2",61974.1821252585
"Cell700","Cell700","Batch1","Group1",61548.9728478899
"Cell701","Cell701","Batch1","Group4",70472.4226745744
"Cell702","Cell702","Batch1","Group1",44652.997697494
"Cell703","Cell703","Batch1","Group1",65372.2371173821
"Cell704","Cell704","Batch1","Group5",68516.589265269
"Cell705","Cell705","Batch1","Group5",53092.6505202169
"Cell706","Cell706","Batch1","Group5",89046.6328509413
"Cell707","Cell707","Batch1","Group2",62005.7026194044
"Cell708","Cell708","Batch1","Group4",85269.7826052624
"Cell709","Cell709","Batch1","Group4",56286.2394880265
"Cell710","Cell710","Batch1","Group1",65417.7837794716
"Cell711","Cell711","Batch1","Group5",50669.4362453094
"Cell712","Cell712","Batch1","Group5",84383.4334981612
"Cell713","Cell713","Batch1","Group4",57120.3054280719
"Cell714","Cell714","Batch1","Group2",75782.8274922229
"Cell715","Cell715","Batch1","Group5",63887.9630559622
"Cell716","Cell716","Batch1","Group4",60647.981924201
"Cell717","Cell717","Batch1","Group4",81801.4593979267
"Cell718","Cell718","Batch1","Group2",64143.1164761898
"Cell719","Cell719","Batch1","Group2",46715.1336393765
"Cell720","Cell720","Batch1","Group4",48506.1364473856
"Cell721","Cell721","Batch1","Group5",54935.4337931985
"Cell722","Cell722","Batch1","Group2",87517.2509308486
"Cell723","Cell723","Batch1","Group5",41116.4630508955
"Cell724","Cell724","Batch1","Group1",59022.3707093339
"Cell725","Cell725","Batch1","Group5",93579.6213237133
"Cell726","Cell726","Batch1","Group3",65089.4034774951
"Cell727","Cell727","Batch1","Group1",75810.8808041126
"Cell728","Cell728","Batch1","Group3",84027.356014683
"Cell729","Cell729","Batch1","Group4",72380.6226481042
"Cell730","Cell730","Batch1","Group4",67494.7424700181
"Cell731","Cell731","Batch1","Group2",44049.1908284853
"Cell732","Cell732","Batch1","Group5",40887.293029438
"Cell733","Cell733","Batch1","Group4",47713.2038304136
"Cell734","Cell734","Batch1","Group5",60276.046030132
"Cell735","Cell735","Batch1","Group2",58261.5684945267
"Cell736","Cell736","Batch1","Group5",77342.7697724958
"Cell737","Cell737","Batch1","Group3",61611.2370068719
"Cell738","Cell738","Batch1","Group3",50673.9457979339
"Cell739","Cell739","Batch1","Group1",54039.1090611976
"Cell740","Cell740","Batch1","Group2",40903.0697197432
"Cell741","Cell741","Batch1","Group2",80932.8435374928
"Cell742","Cell742","Batch1","Group3",42791.8522540361
"Cell743","Cell743","Batch1","Group4",72805.0591964768
"Cell744","Cell744","Batch1","Group5",75822.5905857832
"Cell745","Cell745","Batch1","Group3",77762.4727802758
"Cell746","Cell746","Batch1","Group3",62198.1749590547
"Cell747","Cell747","Batch1","Group3",50752.4624310724
"Cell748","Cell748","Batch1","Group4",72952.8122641656
"Cell749","Cell749","Batch1","Group1",61953.7933173274
"Cell750","Cell750","Batch1","Group2",51687.0949167516
"Cell751","Cell751","Batch1","Group5",62101.0346720551
"Cell752","Cell752","Batch1","Group4",70572.4499582281
"Cell753","Cell753","Batch1","Group1",61093.6559477394
"Cell754","Cell754","Batch1","Group4",69743.0989470306
"Cell755","Cell755","Batch1","Group2",58934.4319408346
"Cell756","Cell756","Batch1","Group4",68295.0497560936
"Cell757","Cell757","Batch1","Group2",53932.2265943391
"Cell758","Cell758","Batch1","Group4",50258.1683853677
"Cell759","Cell759","Batch1","Group3",53051.6418712521
"Cell760","Cell760","Batch1","Group1",79080.7814163668
"Cell761","Cell761","Batch1","Group4",56238.5281653208
"Cell762","Cell762","Batch1","Group5",54896.9719265885
"Cell763","Cell763","Batch1","Group2",69950.1807781009
"Cell764","Cell764","Batch1","Group1",56550.6687147652
"Cell765","Cell765","Batch1","Group3",99132.8234026676
"Cell766","Cell766","Batch1","Group2",67552.8786845698
"Cell767","Cell767","Batch1","Group2",84691.209082741
"Cell768","Cell768","Batch1","Group4",66681.4045297086
"Cell769","Cell769","Batch1","Group5",42299.3785168541
"Cell770","Cell770","Batch1","Group1",77087.3626891474
"Cell771","Cell771","Batch1","Group5",67102.0832477598
"Cell772","Cell772","Batch1","Group4",48698.6797309528
"Cell773","Cell773","Batch1","Group1",67044.8384426867
"Cell774","Cell774","Batch1","Group2",72890.2359082358
"Cell775","Cell775","Batch1","Group1",49928.4332309505
"Cell776","Cell776","Batch1","Group5",46239.6294722293
"Cell777","Cell777","Batch1","Group4",69880.1651159791
"Cell778","Cell778","Batch1","Group2",51374.1370864048
"Cell779","Cell779","Batch1","Group5",69896.2673113846
"Cell780","Cell780","Batch1","Group3",73485.2619114084
"Cell781","Cell781","Batch1","Group1",70956.9446535015
"Cell782","Cell782","Batch1","Group1",62310.7863542894
"Cell783","Cell783","Batch1","Group5",45831.6886882975
"Cell784","Cell784","Batch1","Group5",64352.8003360212
"Cell785","Cell785","Batch1","Group4",61563.2185754402
"Cell786","Cell786","Batch1","Group1",50678.6675306161
"Cell787","Cell787","Batch1","Group2",57928.0018552578
"Cell788","Cell788","Batch1","Group5",48514.8318283566
"Cell789","Cell789","Batch1","Group3",62330.9677329128
"Cell790","Cell790","Batch1","Group4",40366.4468436064
"Cell791","Cell791","Batch1","Group2",56263.0914031937
"Cell792","Cell792","Batch1","Group2",65614.1272860155
"Cell793","Cell793","Batch1","Group2",42497.5102541083
"Cell794","Cell794","Batch1","Group1",50841.6714317871
"Cell795","Cell795","Batch1","Group3",55166.1792161495
"Cell796","Cell796","Batch1","Group4",74740.4351145246
"Cell797","Cell797","Batch1","Group5",90384.0425450406
"Cell798","Cell798","Batch1","Group3",58733.9153070271
"Cell799","Cell799","Batch1","Group4",47805.7817841612
"Cell800","Cell800","Batch1","Group1",60478.3132582793
"Cell801","Cell801","Batch1","Group3",57714.5208602015
"Cell802","Cell802","Batch1","Group1",62785.5856614596
"Cell803","Cell803","Batch1","Group2",53415.3799100568
"Cell804","Cell804","Batch1","Group1",68581.1528641639
"Cell805","Cell805","Batch1","Group5",44664.3490787344
"Cell806","Cell806","Batch1","Group3",47689.3051310723
"Cell807","Cell807","Batch1","Group5",49122.3195470144
"Cell808","Cell808","Batch1","Group3",70162.6649600592
"Cell809","Cell809","Batch1","Group1",62981.8695440846
"Cell810","Cell810","Batch1","Group3",51514.2475746089
"Cell811","Cell811","Batch1","Group2",53255.2591003203
"Cell812","Cell812","Batch1","Group3",79608.9133922498
"Cell813","Cell813","Batch1","Group3",49709.6588329294
"Cell814","Cell814","Batch1","Group3",74801.3796681399
"Cell815","Cell815","Batch1","Group1",82562.9147058204
"Cell816","Cell816","Batch1","Group3",46608.3823036812
"Cell817","Cell817","Batch1","Group4",83026.1240789753
"Cell818","Cell818","Batch1","Group1",57276.0785015803
"Cell819","Cell819","Batch1","Group1",81072.9933696551
"Cell820","Cell820","Batch1","Group3",58233.5672850595
"Cell821","Cell821","Batch1","Group5",44016.1071689216
"Cell822","Cell822","Batch1","Group3",49566.3517119967
"Cell823","Cell823","Batch1","Group4",53328.0062644223
"Cell824","Cell824","Batch1","Group5",67644.9663743252
"Cell825","Cell825","Batch1","Group1",59718.4949138927
"Cell826","Cell826","Batch1","Group1",45010.7924367229
"Cell827","Cell827","Batch1","Group2",73520.2077209265
"Cell828","Cell828","Batch1","Group3",62464.9612286877
"Cell829","Cell829","Batch1","Group3",54048.8752728533
"Cell830","Cell830","Batch1","Group3",72432.0641396284
"Cell831","Cell831","Batch1","Group5",80653.3087272638
"Cell832","Cell832","Batch1","Group5",53689.2994425391
"Cell833","Cell833","Batch1","Group1",46876.2480456004
"Cell834","Cell834","Batch1","Group1",42040.5719788059
"Cell835","Cell835","Batch1","Group5",67862.7091857154
"Cell836","Cell836","Batch1","Group4",55479.0947114699
"Cell837","Cell837","Batch1","Group4",69433.9618748331
"Cell838","Cell838","Batch1","Group2",89465.5377201098
"Cell839","Cell839","Batch1","Group1",76791.8112308825
"Cell840","Cell840","Batch1","Group1",53727.8077181787
"Cell841","Cell841","Batch1","Group4",43504.8588392277
"Cell842","Cell842","Batch1","Group1",85098.1996205347
"Cell843","Cell843","Batch1","Group2",84331.4392438367
"Cell844","Cell844","Batch1","Group3",51739.8695989699
"Cell845","Cell845","Batch1","Group4",80114.1443843733
"Cell846","Cell846","Batch1","Group4",73843.3440301707
"Cell847","Cell847","Batch1","Group4",70255.5613406427
"Cell848","Cell848","Batch1","Group2",53500.8798227215
"Cell849","Cell849","Batch1","Group5",61306.1941134699
"Cell850","Cell850","Batch1","Group5",55526.8124961784
"Cell851","Cell851","Batch1","Group3",71941.3275806281
"Cell852","Cell852","Batch1","Group1",57362.0607930089
"Cell853","Cell853","Batch1","Group5",74884.9441771435
"Cell854","Cell854","Batch1","Group2",60070.5881209022
"Cell855","Cell855","Batch1","Group1",47636.4491193791
"Cell856","Cell856","Batch1","Group3",74164.2466831488
"Cell857","Cell857","Batch1","Group2",63888.5342675913
"Cell858","Cell858","Batch1","Group3",52524.7932619869
"Cell859","Cell859","Batch1","Group5",51232.196285107
"Cell860","Cell860","Batch1","Group3",49475.3303124125
"Cell861","Cell861","Batch1","Group3",59577.7809252615
"Cell862","Cell862","Batch1","Group2",76132.5743528715
"Cell863","Cell863","Batch1","Group3",69077.5397364525
"Cell864","Cell864","Batch1","Group5",54876.0132820204
"Cell865","Cell865","Batch1","Group2",69921.7591514838
"Cell866","Cell866","Batch1","Group2",43117.1535676715
"Cell867","Cell867","Batch1","Group3",68516.0775368575
"Cell868","Cell868","Batch1","Group4",78864.3495644954
"Cell869","Cell869","Batch1","Group5",73546.5401546689
"Cell870","Cell870","Batch1","Group5",53041.4431674451
"Cell871","Cell871","Batch1","Group2",53593.5459408875
"Cell872","Cell872","Batch1","Group4",56598.7443439367
"Cell873","Cell873","Batch1","Group1",46800.9289358563
"Cell874","Cell874","Batch1","Group1",77769.801820349
"Cell875","Cell875","Batch1","Group3",41210.3696295368
"Cell876","Cell876","Batch1","Group4",58104.4095849093
"Cell877","Cell877","Batch1","Group2",57717.5254231772
"Cell878","Cell878","Batch1","Group3",58946.6067807772
"Cell879","Cell879","Batch1","Group4",59381.8101524568
"Cell880","Cell880","Batch1","Group5",75580.5169227503
"Cell881","Cell881","Batch1","Group1",54751.2768300461
"Cell882","Cell882","Batch1","Group3",88484.5411327562
"Cell883","Cell883","Batch1","Group1",71176.3456050336
"Cell884","Cell884","Batch1","Group1",74190.0244750437
"Cell885","Cell885","Batch1","Group1",42081.5594124213
"Cell886","Cell886","Batch1","Group4",51294.1393806692
"Cell887","Cell887","Batch1","Group5",61349.9862289745
"Cell888","Cell888","Batch1","Group1",50532.8948955627
"Cell889","Cell889","Batch1","Group5",49130.0630900112
"Cell890","Cell890","Batch1","Group4",79491.0410149808
"Cell891","Cell891","Batch1","Group3",39765.0580144161
"Cell892","Cell892","Batch1","Group2",51316.4982727391
"Cell893","Cell893","Batch1","Group2",67137.4359925319
"Cell894","Cell894","Batch1","Group2",57798.9337741211
"Cell895","Cell895","Batch1","Group2",49498.8379080418
"Cell896","Cell896","Batch1","Group3",83526.8964413064
"Cell897","Cell897","Batch1","Group2",63349.7511594797
"Cell898","Cell898","Batch1","Group4",40587.3738176989
"Cell899","Cell899","Batch1","Group2",54817.2394526006
"Cell900","Cell900","Batch1","Group2",82111.3821646699
"Cell901","Cell901","Batch1","Group2",88968.6775737355
"Cell902","Cell902","Batch1","Group1",68446.0892883949
"Cell903","Cell903","Batch1","Group5",60259.6971599346
"Cell904","Cell904","Batch1","Group3",38423.5698755077
"Cell905","Cell905","Batch1","Group2",79748.6981029497
"Cell906","Cell906","Batch1","Group3",51575.9257949648
"Cell907","Cell907","Batch1","Group2",65552.66193792
"Cell908","Cell908","Batch1","Group2",47084.8911795683
"Cell909","Cell909","Batch1","Group2",67516.9876602752
"Cell910","Cell910","Batch1","Group2",35822.1024807934
"Cell911","Cell911","Batch1","Group2",94679.3112204562
"Cell912","Cell912","Batch1","Group4",51898.452206751
"Cell913","Cell913","Batch1","Group5",68206.1632605777
"Cell914","Cell914","Batch1","Group5",40622.6154351715
"Cell915","Cell915","Batch1","Group2",62399.764552693
"Cell916","Cell916","Batch1","Group2",91323.039143951
"Cell917","Cell917","Batch1","Group4",74458.3965354904
"Cell918","Cell918","Batch1","Group2",65009.3738338271
"Cell919","Cell919","Batch1","Group5",54399.0134458661
"Cell920","Cell920","Batch1","Group5",57795.4452111196
"Cell921","Cell921","Batch1","Group1",109952.824121205
"Cell922","Cell922","Batch1","Group3",55040.1682857607
"Cell923","Cell923","Batch1","Group1",53616.3319944536
"Cell924","Cell924","Batch1","Group1",52836.3431602312
"Cell925","Cell925","Batch1","Group2",47649.96454601
"Cell926","Cell926","Batch1","Group1",64821.4953468567
"Cell927","Cell927","Batch1","Group1",61990.5599710237
"Cell928","Cell928","Batch1","Group5",75994.6230646654
"Cell929","Cell929","Batch1","Group3",65407.0914618955
"Cell930","Cell930","Batch1","Group4",46479.6418095946
"Cell931","Cell931","Batch1","Group4",56204.0914555702
"Cell932","Cell932","Batch1","Group5",61046.5335480134
"Cell933","Cell933","Batch1","Group1",93934.4403871829
"Cell934","Cell934","Batch1","Group3",48525.0995701916
"Cell935","Cell935","Batch1","Group3",57129.2953753491
"Cell936","Cell936","Batch1","Group5",70173.6493783464
"Cell937","Cell937","Batch1","Group5",52815.5020714721
"Cell938","Cell938","Batch1","Group1",54671.0432863536
"Cell939","Cell939","Batch1","Group4",51969.6554531409
"Cell940","Cell940","Batch1","Group1",41845.2026087403
"Cell941","Cell941","Batch1","Group3",32562.8456693244
"Cell942","Cell942","Batch1","Group3",58719.2165866839
"Cell943","Cell943","Batch1","Group1",46195.7595667551
"Cell944","Cell944","Batch1","Group2",62207.8211938017
"Cell945","Cell945","Batch1","Group4",70419.3798204789
"Cell946","Cell946","Batch1","Group4",51688.9624521135
"Cell947","Cell947","Batch1","Group4",58634.2704672255
"Cell948","Cell948","Batch1","Group5",52098.8817272931
"Cell949","Cell949","Batch1","Group5",59911.8073545989
"Cell950","Cell950","Batch1","Group1",50581.7946301608
"Cell951","Cell951","Batch1","Group1",52218.6156486228
"Cell952","Cell952","Batch1","Group2",70912.2661750484
"Cell953","Cell953","Batch1","Group2",52848.858906143
"Cell954","Cell954","Batch1","Group5",71463.9681158413
"Cell955","Cell955","Batch1","Group1",62644.2282092862
"Cell956","Cell956","Batch1","Group4",53518.4310573486
"Cell957","Cell957","Batch1","Group3",53657.8130144515
"Cell958","Cell958","Batch1","Group1",63965.5180764639
"Cell959","Cell959","Batch1","Group2",51498.3546996626
"Cell960","Cell960","Batch1","Group4",75586.0931332483
"Cell961","Cell961","Batch1","Group2",56631.7158749793
"Cell962","Cell962","Batch1","Group3",53670.6087470317
"Cell963","Cell963","Batch1","Group4",56620.9761721857
"Cell964","Cell964","Batch1","Group2",62468.473259422
"Cell965","Cell965","Batch1","Group5",62095.9984912552
"Cell966","Cell966","Batch1","Group3",47028.6364530342
"Cell967","Cell967","Batch1","Group3",81708.1814081317
"Cell968","Cell968","Batch1","Group3",42295.8962782177
"Cell969","Cell969","Batch1","Group1",55499.7271916751
"Cell970","Cell970","Batch1","Group1",75086.7319502566
"Cell971","Cell971","Batch1","Group5",59582.2504837442
"Cell972","Cell972","Batch1","Group1",50047.2546537454
"Cell973","Cell973","Batch1","Group4",55380.8206661307
"Cell974","Cell974","Batch1","Group4",48255.7550408186
"Cell975","Cell975","Batch1","Group1",72614.0669180108
"Cell976","Cell976","Batch1","Group2",69650.1117866388
"Cell977","Cell977","Batch1","Group2",56627.9475576109
"Cell978","Cell978","Batch1","Group2",48530.3699134899
"Cell979","Cell979","Batch1","Group5",47916.8747441778
"Cell980","Cell980","Batch1","Group5",78468.2438826388
"Cell981","Cell981","Batch1","Group1",70103.3415178615
"Cell982","Cell982","Batch1","Group2",38193.6277619052
"Cell983","Cell983","Batch1","Group2",60450.2184064027
"Cell984","Cell984","Batch1","Group1",99212.1411262225
"Cell985","Cell985","Batch1","Group3",48860.2558014399
"Cell986","Cell986","Batch1","Group2",42440.9650903081
"Cell987","Cell987","Batch1","Group4",38162.5219707313
"Cell988","Cell988","Batch1","Group4",57259.0463430875
"Cell989","Cell989","Batch1","Group3",51354.6043505185
"Cell990","Cell990","Batch1","Group1",72110.3367733253
"Cell991","Cell991","Batch1","Group4",46258.3985426725
"Cell992","Cell992","Batch1","Group2",53419.6357654714
"Cell993","Cell993","Batch1","Group4",72566.33078567
"Cell994","Cell994","Batch1","Group5",57388.1306789391
"Cell995","Cell995","Batch1","Group3",53815.5572637126
"Cell996","Cell996","Batch1","Group2",59900.5577599072
"Cell997","Cell997","Batch1","Group5",55861.7565970688
"Cell998","Cell998","Batch1","Group5",54329.7718550955
"Cell999","Cell999","Batch1","Group3",62526.6072764591
"Cell1000","Cell1000","Batch1","Group2",47586.4205465116
