"","Cell","Batch","Group","ExpLibSize"
"Cell1104","Cell1104","Batch1","Group6",87764.4377842864
"Cell1105","Cell1105","Batch1","Group3",87998.0409091596
"Cell1106","Cell1106","Batch1","Group3",69737.4740375855
"Cell1107","Cell1107","Batch1","Group8",50279.6251767001
"Cell1108","Cell1108","Batch1","Group5",59527.0103316876
"Cell1109","Cell1109","Batch1","Group6",53670.7766268533
"Cell1110","Cell1110","Batch1","Group1",52292.8226178879
"Cell1111","Cell1111","Batch1","Group5",55546.3314254803
"Cell1112","Cell1112","Batch1","Group4",85097.5968084422
"Cell1113","Cell1113","Batch1","Group8",62344.224902609
"Cell1114","Cell1114","Batch1","Group2",87227.5395111488
"Cell1115","Cell1115","Batch1","Group8",61083.9944802199
"Cell1116","Cell1116","Batch1","Group9",58645.0874836031
"Cell1117","Cell1117","Batch1","Group7",40979.0968609927
"Cell1118","Cell1118","Batch1","Group5",61728.3355618381
"Cell1119","Cell1119","Batch1","Group9",58082.9414015728
"Cell1120","Cell1120","Batch1","Group5",48288.0172303245
"Cell1121","Cell1121","Batch1","Group9",66445.8329744082
"Cell1122","Cell1122","Batch1","Group3",99982.5347950744
"Cell1123","Cell1123","Batch1","Group9",45691.3486706376
"Cell1124","Cell1124","Batch1","Group6",55140.8102295907
"Cell1125","Cell1125","Batch1","Group10",52186.5260319535
"Cell1126","Cell1126","Batch1","Group9",55680.7342658626
"Cell1127","Cell1127","Batch1","Group1",53494.6280522089
"Cell1128","Cell1128","Batch1","Group4",48085.9571193904
"Cell1129","Cell1129","Batch1","Group6",68304.4706933619
"Cell1130","Cell1130","Batch1","Group4",53797.8470346174
"Cell1131","Cell1131","Batch1","Group5",66936.6641116163
"Cell1132","Cell1132","Batch1","Group10",59158.3087521536
"Cell1133","Cell1133","Batch1","Group3",50194.3674722986
"Cell1134","Cell1134","Batch1","Group6",60991.8755353664
"Cell1135","Cell1135","Batch1","Group6",73777.0199141688
"Cell1136","Cell1136","Batch1","Group5",43079.4458020543
"Cell1137","Cell1137","Batch1","Group3",89935.3691384645
"Cell1138","Cell1138","Batch1","Group4",42382.958584804
"Cell1139","Cell1139","Batch1","Group8",55082.8445210017
"Cell1140","Cell1140","Batch1","Group10",61427.1912372341
"Cell1141","Cell1141","Batch1","Group6",60111.8811664655
"Cell1142","Cell1142","Batch1","Group3",42414.7248417312
"Cell1143","Cell1143","Batch1","Group4",46479.2032024304
"Cell1144","Cell1144","Batch1","Group10",56683.9117262101
"Cell1145","Cell1145","Batch1","Group3",64711.549459984
"Cell1146","Cell1146","Batch1","Group9",54615.9370686613
"Cell1147","Cell1147","Batch1","Group7",74861.6694763519
"Cell1148","Cell1148","Batch1","Group5",69166.7937832098
"Cell1149","Cell1149","Batch1","Group4",43214.1000094869
"Cell1150","Cell1150","Batch1","Group10",50178.4713912601
"Cell1151","Cell1151","Batch1","Group3",66894.8617698765
"Cell1152","Cell1152","Batch1","Group10",62116.7392075866
"Cell1153","Cell1153","Batch1","Group2",62126.1080559263
"Cell1154","Cell1154","Batch1","Group9",58665.0319778805
"Cell1155","Cell1155","Batch1","Group10",80158.1036034662
"Cell1156","Cell1156","Batch1","Group1",54497.9932816707
"Cell1157","Cell1157","Batch1","Group4",86180.0911243544
"Cell1158","Cell1158","Batch1","Group2",65465.1294580557
"Cell1159","Cell1159","Batch1","Group4",63420.8355435973
"Cell1160","Cell1160","Batch1","Group3",47795.5595685472
"Cell1161","Cell1161","Batch1","Group5",55918.4258610802
"Cell1162","Cell1162","Batch1","Group2",98553.1750493777
"Cell1163","Cell1163","Batch1","Group4",54398.900230865
"Cell1164","Cell1164","Batch1","Group7",57447.1322493784
"Cell1165","Cell1165","Batch1","Group5",44902.1924972457
"Cell1166","Cell1166","Batch1","Group1",53029.5571609171
"Cell1167","Cell1167","Batch1","Group5",45696.2758794721
"Cell1168","Cell1168","Batch1","Group1",73784.1013690044
"Cell1169","Cell1169","Batch1","Group4",77344.2779866438
"Cell1170","Cell1170","Batch1","Group8",63233.8158817181
"Cell1171","Cell1171","Batch1","Group3",60349.0386916659
"Cell1172","Cell1172","Batch1","Group10",46578.975966943
"Cell1173","Cell1173","Batch1","Group9",86082.9748001978
"Cell1174","Cell1174","Batch1","Group6",57848.6808358701
"Cell1175","Cell1175","Batch1","Group6",51969.9464787054
"Cell1176","Cell1176","Batch1","Group8",66844.2321768275
"Cell1177","Cell1177","Batch1","Group2",86371.1021189053
"Cell1178","Cell1178","Batch1","Group8",62912.5246282971
"Cell1179","Cell1179","Batch1","Group9",49265.5719824993
"Cell1180","Cell1180","Batch1","Group4",56731.1627698083
"Cell1181","Cell1181","Batch1","Group2",88863.8526903285
"Cell1182","Cell1182","Batch1","Group5",41178.6071128745
"Cell1183","Cell1183","Batch1","Group5",62591.5205456436
"Cell1184","Cell1184","Batch1","Group6",67957.4977747713
"Cell1185","Cell1185","Batch1","Group5",65971.7143209722
"Cell1186","Cell1186","Batch1","Group1",46805.6712041514
"Cell1187","Cell1187","Batch1","Group3",66476.38319255
"Cell1188","Cell1188","Batch1","Group3",74264.1868264801
"Cell1189","Cell1189","Batch1","Group8",58444.0801714264
"Cell1190","Cell1190","Batch1","Group2",61492.725919814
"Cell1191","Cell1191","Batch1","Group2",94871.623424739
"Cell1192","Cell1192","Batch1","Group9",84388.1977181749
"Cell1193","Cell1193","Batch1","Group1",56851.1361726384
"Cell1194","Cell1194","Batch1","Group4",74110.877375835
"Cell1195","Cell1195","Batch1","Group8",49763.4044840111
"Cell1196","Cell1196","Batch1","Group5",62269.6048956779
"Cell1197","Cell1197","Batch1","Group1",64102.7507338289
"Cell1198","Cell1198","Batch1","Group10",75242.1990193063
"Cell1199","Cell1199","Batch1","Group9",79262.3730467965
"Cell1200","Cell1200","Batch1","Group4",64536.8531433749
"Cell1201","Cell1201","Batch1","Group2",85996.5237890912
"Cell1202","Cell1202","Batch1","Group5",64340.1343155946
"Cell1203","Cell1203","Batch1","Group9",70302.4249075476
"Cell1204","Cell1204","Batch1","Group1",64737.9009727952
"Cell1205","Cell1205","Batch1","Group8",76087.7882273844
"Cell1206","Cell1206","Batch1","Group9",104461.332306696
"Cell1207","Cell1207","Batch1","Group10",72900.7203460135
"Cell1208","Cell1208","Batch1","Group9",52652.4767258052
"Cell1209","Cell1209","Batch1","Group10",48750.5819308497
"Cell1210","Cell1210","Batch1","Group6",65567.4642359255
"Cell1211","Cell1211","Batch1","Group8",55481.6618407702
"Cell1212","Cell1212","Batch1","Group3",44200.2975581893
"Cell1213","Cell1213","Batch1","Group9",55657.8913913616
"Cell1214","Cell1214","Batch1","Group2",69599.5401517873
"Cell1215","Cell1215","Batch1","Group4",60986.5892682836
"Cell1216","Cell1216","Batch1","Group6",70933.7763546292
"Cell1217","Cell1217","Batch1","Group1",61537.0045869092
"Cell1218","Cell1218","Batch1","Group1",53994.6745853753
"Cell1219","Cell1219","Batch1","Group2",75128.9292178006
"Cell1220","Cell1220","Batch1","Group7",41166.7660182625
"Cell1221","Cell1221","Batch1","Group2",91239.7683370537
"Cell1222","Cell1222","Batch1","Group7",52053.7473917751
"Cell1223","Cell1223","Batch1","Group2",56367.460781388
"Cell1224","Cell1224","Batch1","Group8",67395.4646408979
"Cell1225","Cell1225","Batch1","Group10",32109.9690462103
"Cell1226","Cell1226","Batch1","Group5",52397.3168316864
"Cell1227","Cell1227","Batch1","Group3",56238.7849389968
"Cell1228","Cell1228","Batch1","Group2",39368.5319715898
"Cell1229","Cell1229","Batch1","Group5",64013.0630216388
"Cell1230","Cell1230","Batch1","Group1",50977.5837878499
"Cell1231","Cell1231","Batch1","Group7",62216.9554400593
"Cell1232","Cell1232","Batch1","Group5",52441.5256799893
"Cell1233","Cell1233","Batch1","Group5",71699.2211118706
"Cell1234","Cell1234","Batch1","Group5",63554.3290746767
"Cell1235","Cell1235","Batch1","Group2",63362.6699915912
"Cell1236","Cell1236","Batch1","Group2",50455.4234916848
"Cell1237","Cell1237","Batch1","Group10",66676.7131098616
"Cell1238","Cell1238","Batch1","Group6",50014.1163558469
"Cell1239","Cell1239","Batch1","Group6",53182.6346438752
"Cell1240","Cell1240","Batch1","Group6",51226.2573957929
"Cell1241","Cell1241","Batch1","Group9",55390.5086843399
"Cell1242","Cell1242","Batch1","Group5",64232.8930311968
"Cell1243","Cell1243","Batch1","Group7",53304.9429537596
"Cell1244","Cell1244","Batch1","Group2",72948.3852070222
"Cell1245","Cell1245","Batch1","Group4",45275.124168658
"Cell1246","Cell1246","Batch1","Group1",51301.2468818616
"Cell1247","Cell1247","Batch1","Group7",63526.2346846241
"Cell1248","Cell1248","Batch1","Group1",63156.6282665579
"Cell1249","Cell1249","Batch1","Group9",66611.8178214321
"Cell1250","Cell1250","Batch1","Group9",59219.3276170996
"Cell1251","Cell1251","Batch1","Group2",54265.8021002388
"Cell1252","Cell1252","Batch1","Group3",65420.8378150617
"Cell1253","Cell1253","Batch1","Group3",55944.5650394271
"Cell1254","Cell1254","Batch1","Group9",68483.288577749
"Cell1255","Cell1255","Batch1","Group1",36932.7935183597
"Cell1256","Cell1256","Batch1","Group6",53940.9627903674
"Cell1257","Cell1257","Batch1","Group3",40108.9430875123
"Cell1258","Cell1258","Batch1","Group5",52367.5569468719
"Cell1259","Cell1259","Batch1","Group7",58650.3913057855
"Cell1260","Cell1260","Batch1","Group1",56336.5782973961
"Cell1261","Cell1261","Batch1","Group2",56428.8792521707
"Cell1262","Cell1262","Batch1","Group3",54191.8628570707
"Cell1263","Cell1263","Batch1","Group9",54414.5961366057
"Cell1264","Cell1264","Batch1","Group5",69024.3335422295
"Cell1265","Cell1265","Batch1","Group9",67560.1728463327
"Cell1266","Cell1266","Batch1","Group4",51770.0508198532
"Cell1267","Cell1267","Batch1","Group5",80889.8367214457
"Cell1268","Cell1268","Batch1","Group7",72543.8616982736
"Cell1269","Cell1269","Batch1","Group1",83836.125613929
"Cell1270","Cell1270","Batch1","Group2",66150.8913806372
"Cell1271","Cell1271","Batch1","Group5",67587.5640123845
"Cell1272","Cell1272","Batch1","Group4",55882.5638765187
"Cell1273","Cell1273","Batch1","Group5",61833.2331030543
"Cell1274","Cell1274","Batch1","Group9",79880.388620231
"Cell1275","Cell1275","Batch1","Group10",65741.5343626094
"Cell1276","Cell1276","Batch1","Group8",63967.5486773387
"Cell1277","Cell1277","Batch1","Group8",65615.6256777262
"Cell1278","Cell1278","Batch1","Group3",56008.1168706307
"Cell1279","Cell1279","Batch1","Group10",47656.3816302653
"Cell1280","Cell1280","Batch1","Group9",58455.943829084
"Cell1281","Cell1281","Batch1","Group1",51366.4808295704
"Cell1282","Cell1282","Batch1","Group2",52160.7249050934
"Cell1283","Cell1283","Batch1","Group7",39242.9148024743
"Cell1284","Cell1284","Batch1","Group5",84499.0012142149
"Cell1285","Cell1285","Batch1","Group9",80986.0971104423
"Cell1286","Cell1286","Batch1","Group9",55164.7835169751
"Cell1287","Cell1287","Batch1","Group4",46101.4419577883
"Cell1288","Cell1288","Batch1","Group4",76316.0924064668
"Cell1289","Cell1289","Batch1","Group8",57941.8739329639
"Cell1290","Cell1290","Batch1","Group6",57347.3788893804
"Cell1291","Cell1291","Batch1","Group5",67840.8924387799
"Cell1292","Cell1292","Batch1","Group2",79669.6723050226
"Cell1293","Cell1293","Batch1","Group10",50127.3158402002
"Cell1294","Cell1294","Batch1","Group10",59939.4511342951
"Cell1295","Cell1295","Batch1","Group6",58367.8753061855
"Cell1296","Cell1296","Batch1","Group2",40736.1073108653
"Cell1297","Cell1297","Batch1","Group7",56292.5315821133
"Cell1298","Cell1298","Batch1","Group5",46373.2157834259
"Cell1299","Cell1299","Batch1","Group6",64674.2799333649
"Cell1300","Cell1300","Batch1","Group5",56563.0101978148
"Cell1301","Cell1301","Batch1","Group2",58682.1806622247
"Cell1302","Cell1302","Batch1","Group7",63695.317297427
"Cell1303","Cell1303","Batch1","Group3",61283.194662334
"Cell1304","Cell1304","Batch1","Group4",53421.0515729641
"Cell1305","Cell1305","Batch1","Group1",60436.294942795
"Cell1306","Cell1306","Batch1","Group1",55626.7538101222
"Cell1307","Cell1307","Batch1","Group9",70873.7967850131
"Cell1308","Cell1308","Batch1","Group2",59101.5664626252
"Cell1309","Cell1309","Batch1","Group7",61268.662021828
"Cell1310","Cell1310","Batch1","Group8",64458.525534999
"Cell1311","Cell1311","Batch1","Group6",78478.8664573703
"Cell1312","Cell1312","Batch1","Group2",58280.8505178207
"Cell1313","Cell1313","Batch1","Group6",73153.9811842139
"Cell1314","Cell1314","Batch1","Group7",52024.2406617001
"Cell1315","Cell1315","Batch1","Group8",78241.9926730059
"Cell1316","Cell1316","Batch1","Group8",51607.8765843174
"Cell1317","Cell1317","Batch1","Group9",49778.1771564678
"Cell1318","Cell1318","Batch1","Group3",84383.0217245544
"Cell1319","Cell1319","Batch1","Group3",74397.2311974218
"Cell1320","Cell1320","Batch1","Group9",49258.6639493495
"Cell1321","Cell1321","Batch1","Group6",63614.5137374587
"Cell1322","Cell1322","Batch1","Group8",54758.3454290903
"Cell1323","Cell1323","Batch1","Group3",51388.7364925818
"Cell1324","Cell1324","Batch1","Group10",76941.6347920135
"Cell1325","Cell1325","Batch1","Group5",64934.1292353723
"Cell1326","Cell1326","Batch1","Group3",69374.8296709528
"Cell1327","Cell1327","Batch1","Group8",50352.2343382653
"Cell1328","Cell1328","Batch1","Group3",77198.1476983322
"Cell1329","Cell1329","Batch1","Group2",75992.0503427582
"Cell1330","Cell1330","Batch1","Group2",75482.6961472353
"Cell1331","Cell1331","Batch1","Group10",45787.2998216234
"Cell1332","Cell1332","Batch1","Group5",53851.9681365996
"Cell1333","Cell1333","Batch1","Group10",61307.4881638409
"Cell1334","Cell1334","Batch1","Group2",49846.511402385
"Cell1335","Cell1335","Batch1","Group6",59281.658862959
"Cell1336","Cell1336","Batch1","Group9",79324.7372419447
"Cell1337","Cell1337","Batch1","Group8",54975.432812558
"Cell1338","Cell1338","Batch1","Group7",48302.9437079232
"Cell1339","Cell1339","Batch1","Group1",64339.7552103935
"Cell1340","Cell1340","Batch1","Group1",57732.0440719459
"Cell1341","Cell1341","Batch1","Group4",59827.9083168507
"Cell1342","Cell1342","Batch1","Group3",75453.5496257183
"Cell1343","Cell1343","Batch1","Group3",61202.3745628944
"Cell1344","Cell1344","Batch1","Group10",60979.6670862055
"Cell1345","Cell1345","Batch1","Group3",64757.2356314744
"Cell1346","Cell1346","Batch1","Group4",48569.2009354696
"Cell1347","Cell1347","Batch1","Group3",64731.1260193804
"Cell1348","Cell1348","Batch1","Group2",64825.6165499023
"Cell1349","Cell1349","Batch1","Group4",70339.0578319318
"Cell1350","Cell1350","Batch1","Group9",45304.1237985214
"Cell1351","Cell1351","Batch1","Group8",88229.4536374684
"Cell1352","Cell1352","Batch1","Group2",42516.0705215261
"Cell1353","Cell1353","Batch1","Group3",58610.5383752026
"Cell1354","Cell1354","Batch1","Group3",50851.0976266015
"Cell1355","Cell1355","Batch1","Group5",63833.879409797
"Cell1356","Cell1356","Batch1","Group4",73287.1782073361
"Cell1357","Cell1357","Batch1","Group7",38846.7439287936
"Cell1358","Cell1358","Batch1","Group7",52572.0658693131
"Cell1359","Cell1359","Batch1","Group2",39043.3092357435
"Cell1360","Cell1360","Batch1","Group3",64998.092450485
"Cell1361","Cell1361","Batch1","Group1",65131.6560168256
"Cell1362","Cell1362","Batch1","Group10",72074.4741605629
"Cell1363","Cell1363","Batch1","Group1",55278.7774363567
"Cell1364","Cell1364","Batch1","Group3",86483.7624850785
"Cell1365","Cell1365","Batch1","Group2",76586.0703204321
"Cell1366","Cell1366","Batch1","Group7",64339.4159931274
"Cell1367","Cell1367","Batch1","Group5",60642.0836182955
"Cell1368","Cell1368","Batch1","Group7",58251.3887461971
"Cell1369","Cell1369","Batch1","Group5",56546.013311775
"Cell1370","Cell1370","Batch1","Group3",76921.7034133265
"Cell1371","Cell1371","Batch1","Group7",68462.4733597861
"Cell1372","Cell1372","Batch1","Group5",51285.0493366277
"Cell1373","Cell1373","Batch1","Group3",47637.662254269
"Cell1374","Cell1374","Batch1","Group4",47654.9986937329
"Cell1375","Cell1375","Batch1","Group5",46289.0379948334
"Cell1376","Cell1376","Batch1","Group10",28548.3046462661
"Cell1377","Cell1377","Batch1","Group9",57136.6760175461
"Cell1378","Cell1378","Batch1","Group1",52286.6772132733
"Cell1379","Cell1379","Batch1","Group10",54043.7399118166
"Cell1380","Cell1380","Batch1","Group3",80414.5756058466
"Cell1381","Cell1381","Batch1","Group7",77100.4483766699
"Cell1382","Cell1382","Batch1","Group10",47702.9561870454
"Cell1383","Cell1383","Batch1","Group8",53914.1290394173
"Cell1384","Cell1384","Batch1","Group6",53567.497634459
"Cell1385","Cell1385","Batch1","Group4",40231.2753879842
"Cell1386","Cell1386","Batch1","Group2",58437.4497443063
"Cell1387","Cell1387","Batch1","Group5",58863.4623546532
"Cell1388","Cell1388","Batch1","Group4",59253.3936553398
"Cell1389","Cell1389","Batch1","Group10",58139.5625773797
"Cell1390","Cell1390","Batch1","Group8",57142.7651129313
"Cell1391","Cell1391","Batch1","Group7",63957.2609388293
"Cell1392","Cell1392","Batch1","Group7",70002.4843724027
"Cell1393","Cell1393","Batch1","Group4",94243.9888120948
"Cell1394","Cell1394","Batch1","Group2",78132.3520526777
"Cell1395","Cell1395","Batch1","Group1",52061.50391121
"Cell1396","Cell1396","Batch1","Group9",68901.669142341
"Cell1397","Cell1397","Batch1","Group4",50741.1779607287
"Cell1398","Cell1398","Batch1","Group9",70064.1571310413
"Cell1399","Cell1399","Batch1","Group10",48215.9889575836
"Cell1400","Cell1400","Batch1","Group5",42109.8152189091
"Cell1401","Cell1401","Batch1","Group9",57878.6418110428
"Cell1402","Cell1402","Batch1","Group4",57537.9410518027
"Cell1403","Cell1403","Batch1","Group8",47238.6663193783
"Cell1404","Cell1404","Batch1","Group1",64005.5939512317
"Cell1405","Cell1405","Batch1","Group5",69140.6778818349
"Cell1406","Cell1406","Batch1","Group6",55943.9034391009
"Cell1407","Cell1407","Batch1","Group10",62490.5533299155
"Cell1408","Cell1408","Batch1","Group6",52511.059685443
"Cell1409","Cell1409","Batch1","Group2",84093.2138391598
"Cell1410","Cell1410","Batch1","Group3",44758.1595227592
"Cell1411","Cell1411","Batch1","Group3",56867.35993714
"Cell1412","Cell1412","Batch1","Group2",49433.0241489377
"Cell1413","Cell1413","Batch1","Group6",56967.2552387656
"Cell1414","Cell1414","Batch1","Group2",51533.1910221282
"Cell1415","Cell1415","Batch1","Group7",66275.5794798622
"Cell1416","Cell1416","Batch1","Group5",51367.2944982374
"Cell1417","Cell1417","Batch1","Group7",51189.8464793165
"Cell1418","Cell1418","Batch1","Group1",44774.1133363225
"Cell1419","Cell1419","Batch1","Group5",66381.2200307444
"Cell1420","Cell1420","Batch1","Group1",44322.7307071072
"Cell1421","Cell1421","Batch1","Group5",87223.6754192041
"Cell1422","Cell1422","Batch1","Group1",62650.9029856662
"Cell1423","Cell1423","Batch1","Group8",62577.2186674762
"Cell1424","Cell1424","Batch1","Group1",56466.1976325864
"Cell1425","Cell1425","Batch1","Group4",100736.100229788
"Cell1426","Cell1426","Batch1","Group6",63902.8522678278
"Cell1427","Cell1427","Batch1","Group2",63796.9418317474
"Cell1428","Cell1428","Batch1","Group3",39670.7649554254
"Cell1429","Cell1429","Batch1","Group7",44358.4516769205
"Cell1430","Cell1430","Batch1","Group5",52881.5623545738
"Cell1431","Cell1431","Batch1","Group10",61757.2815959329
"Cell1432","Cell1432","Batch1","Group2",49286.5091944882
"Cell1433","Cell1433","Batch1","Group10",51001.5530003366
"Cell1434","Cell1434","Batch1","Group5",43764.7094740422
"Cell1435","Cell1435","Batch1","Group5",64131.06750501
"Cell1436","Cell1436","Batch1","Group1",54771.8144550378
"Cell1437","Cell1437","Batch1","Group6",45022.151480902
"Cell1438","Cell1438","Batch1","Group7",53799.475785151
"Cell1439","Cell1439","Batch1","Group1",58083.7140940259
"Cell1440","Cell1440","Batch1","Group10",49506.6300555395
"Cell1441","Cell1441","Batch1","Group4",43117.7556876222
"Cell1442","Cell1442","Batch1","Group8",79087.0834255211
"Cell1443","Cell1443","Batch1","Group6",59134.9126383144
"Cell1444","Cell1444","Batch1","Group4",57279.1773846383
"Cell1445","Cell1445","Batch1","Group8",57962.6198017837
"Cell1446","Cell1446","Batch1","Group1",64046.7819840241
"Cell1447","Cell1447","Batch1","Group4",74334.8712957246
"Cell1448","Cell1448","Batch1","Group6",73573.3859821103
"Cell1449","Cell1449","Batch1","Group5",55788.0055599564
"Cell1450","Cell1450","Batch1","Group3",74241.3341970614
"Cell1451","Cell1451","Batch1","Group9",57350.4233115635
"Cell1452","Cell1452","Batch1","Group7",62113.0745748446
"Cell1453","Cell1453","Batch1","Group4",72411.0045862281
"Cell1454","Cell1454","Batch1","Group2",74362.7328803866
"Cell1455","Cell1455","Batch1","Group8",44400.8590508222
"Cell1456","Cell1456","Batch1","Group10",52639.0460657388
"Cell1457","Cell1457","Batch1","Group3",79678.8535079559
"Cell1458","Cell1458","Batch1","Group8",55410.1489506047
"Cell1459","Cell1459","Batch1","Group2",59031.9791783846
"Cell1460","Cell1460","Batch1","Group5",59051.6139260865
"Cell1461","Cell1461","Batch1","Group9",58687.4247980734
"Cell1462","Cell1462","Batch1","Group5",64014.9202862931
"Cell1463","Cell1463","Batch1","Group6",45938.7650091673
"Cell1464","Cell1464","Batch1","Group10",69982.7942451466
"Cell1465","Cell1465","Batch1","Group5",51153.2141086663
"Cell1466","Cell1466","Batch1","Group3",69295.3261643073
"Cell1467","Cell1467","Batch1","Group5",53685.9616923338
"Cell1468","Cell1468","Batch1","Group3",69737.659594783
"Cell1469","Cell1469","Batch1","Group10",60645.8587704449
"Cell1470","Cell1470","Batch1","Group8",61429.0597266478
"Cell1471","Cell1471","Batch1","Group3",66081.8292746331
"Cell1472","Cell1472","Batch1","Group5",64795.1457513097
"Cell1473","Cell1473","Batch1","Group10",53785.3706753316
"Cell1474","Cell1474","Batch1","Group9",63356.5290073991
"Cell1475","Cell1475","Batch1","Group3",59840.0995217215
"Cell1476","Cell1476","Batch1","Group6",62394.8251873624
"Cell1477","Cell1477","Batch1","Group6",45418.5936538964
"Cell1478","Cell1478","Batch1","Group10",60071.2234132263
"Cell1479","Cell1479","Batch1","Group6",61163.347004371
"Cell1480","Cell1480","Batch1","Group8",62612.9881917673
"Cell1481","Cell1481","Batch1","Group9",56398.3722066283
"Cell1482","Cell1482","Batch1","Group2",70942.6451199877
"Cell1483","Cell1483","Batch1","Group2",80717.0049393012
"Cell1484","Cell1484","Batch1","Group2",52541.8647729268
"Cell1485","Cell1485","Batch1","Group5",45826.7453345477
"Cell1486","Cell1486","Batch1","Group1",70559.8229568017
"Cell1487","Cell1487","Batch1","Group6",54300.6117639538
"Cell1488","Cell1488","Batch1","Group9",63034.9970391607
"Cell1489","Cell1489","Batch1","Group9",61286.6823205294
"Cell1490","Cell1490","Batch1","Group3",58460.1260084536
"Cell1491","Cell1491","Batch1","Group10",65748.0519667837
"Cell1492","Cell1492","Batch1","Group2",44919.2838409633
"Cell1493","Cell1493","Batch1","Group3",66582.8584951789
"Cell1494","Cell1494","Batch1","Group10",50385.4243357514
"Cell1495","Cell1495","Batch1","Group8",46674.8670911153
"Cell1496","Cell1496","Batch1","Group4",68128.1769132532
"Cell1497","Cell1497","Batch1","Group8",55944.3339394863
"Cell1498","Cell1498","Batch1","Group1",66933.9649682671
"Cell1499","Cell1499","Batch1","Group10",61447.9071552789
"Cell1500","Cell1500","Batch1","Group1",81726.2623118597
"Cell1501","Cell1501","Batch1","Group6",70161.8888561147
"Cell1502","Cell1502","Batch1","Group2",47692.3229301207
"Cell1503","Cell1503","Batch1","Group10",57509.0862632223
"Cell1504","Cell1504","Batch1","Group3",48802.0215204288
"Cell1505","Cell1505","Batch1","Group7",50779.1050561072
"Cell1506","Cell1506","Batch1","Group3",62836.5640703782
"Cell1507","Cell1507","Batch1","Group5",61055.2355687917
"Cell1508","Cell1508","Batch1","Group9",46129.6215527154
"Cell1509","Cell1509","Batch1","Group8",56509.1636215984
"Cell1510","Cell1510","Batch1","Group2",67384.9096846904
"Cell1511","Cell1511","Batch1","Group8",72339.9915016678
"Cell1512","Cell1512","Batch1","Group2",46377.9587340607
"Cell1513","Cell1513","Batch1","Group8",57579.096439665
"Cell1514","Cell1514","Batch1","Group1",62344.311620217
"Cell1515","Cell1515","Batch1","Group10",64133.2681244496
"Cell1516","Cell1516","Batch1","Group10",76002.1052045038
"Cell1517","Cell1517","Batch1","Group5",43124.2973686287
"Cell1518","Cell1518","Batch1","Group9",75488.715498451
"Cell1519","Cell1519","Batch1","Group6",46247.616813841
"Cell1520","Cell1520","Batch1","Group4",90964.8559484933
"Cell1521","Cell1521","Batch1","Group6",42160.0653563874
"Cell1522","Cell1522","Batch1","Group6",60220.3532228101
"Cell1523","Cell1523","Batch1","Group10",56143.2376669394
"Cell1524","Cell1524","Batch1","Group9",76144.1140871706
"Cell1525","Cell1525","Batch1","Group1",56517.9422005164
"Cell1526","Cell1526","Batch1","Group3",52374.7540560761
"Cell1527","Cell1527","Batch1","Group10",64562.6832073238
"Cell1528","Cell1528","Batch1","Group6",75906.0064086634
"Cell1529","Cell1529","Batch1","Group10",55481.8554503451
"Cell1530","Cell1530","Batch1","Group7",49286.628946465
"Cell1531","Cell1531","Batch1","Group1",53287.1706082452
"Cell1532","Cell1532","Batch1","Group9",64802.96513588
"Cell1533","Cell1533","Batch1","Group4",64834.9073348474
"Cell1534","Cell1534","Batch1","Group9",55073.7813526469
"Cell1535","Cell1535","Batch1","Group2",61675.5115418815
"Cell1536","Cell1536","Batch1","Group1",60057.2318882541
"Cell1537","Cell1537","Batch1","Group3",78195.373407894
"Cell1538","Cell1538","Batch1","Group7",84609.681391952
"Cell1539","Cell1539","Batch1","Group8",57884.3731498962
"Cell1540","Cell1540","Batch1","Group3",61248.4742487939
"Cell1541","Cell1541","Batch1","Group7",60957.4900640473
"Cell1542","Cell1542","Batch1","Group5",53175.4621739753
"Cell1543","Cell1543","Batch1","Group2",52645.7895152165
"Cell1544","Cell1544","Batch1","Group2",50921.6578507852
"Cell1545","Cell1545","Batch1","Group10",65679.2137441756
"Cell1546","Cell1546","Batch1","Group10",37534.5630057495
"Cell1547","Cell1547","Batch1","Group6",73359.6871801316
"Cell1548","Cell1548","Batch1","Group1",59573.066582391
"Cell1549","Cell1549","Batch1","Group6",66231.4397280718
"Cell1550","Cell1550","Batch1","Group6",57844.560256724
"Cell1551","Cell1551","Batch1","Group8",62319.8537858972
"Cell1552","Cell1552","Batch1","Group3",39221.9248343384
"Cell1553","Cell1553","Batch1","Group2",69949.4324353372
"Cell1554","Cell1554","Batch1","Group10",53419.8563606745
"Cell1555","Cell1555","Batch1","Group4",48730.1830351288
"Cell1556","Cell1556","Batch1","Group7",60444.4267977456
"Cell1557","Cell1557","Batch1","Group10",75214.1520145864
"Cell1558","Cell1558","Batch1","Group5",33513.6257916784
"Cell1559","Cell1559","Batch1","Group1",60110.8445184596
"Cell1560","Cell1560","Batch1","Group10",64522.1196706763
"Cell1561","Cell1561","Batch1","Group9",84436.9552404339
"Cell1562","Cell1562","Batch1","Group4",47035.6960441762
"Cell1563","Cell1563","Batch1","Group9",43164.69647439
"Cell1564","Cell1564","Batch1","Group10",62694.9153769225
"Cell1565","Cell1565","Batch1","Group2",66308.0105297809
"Cell1566","Cell1566","Batch1","Group3",65387.9930211206
"Cell1567","Cell1567","Batch1","Group10",39475.0025364546
"Cell1568","Cell1568","Batch1","Group8",63846.4716103722
"Cell1569","Cell1569","Batch1","Group10",37826.387772331
"Cell1570","Cell1570","Batch1","Group10",51100.2540179661
